SA2_NAME_2016,population,volunteer_perc,actual,predicted,misclassified
Gympie - North,14217,16.0,1,0,underestimated
Gympie - South,6748,19.14,1,1,
Gympie Region,18567,17.77,1,1,
Kilkivan,3687,20.36,1,1,
Booral - River Heads,4602,13.79,0,1,overestimated
Craignish - Dundowran Beach,4815,14.84,0,1,overestimated
Pialba - Eli Waters,13950,13.16,0,0,
Point Vernon,5693,13.73,0,0,
Torquay - Scarness - Kawungan,15001,13.57,0,0,
Urangan - Wondunna,12614,13.54,0,1,overestimated
Burrum - Fraser,9570,13.35,0,1,overestimated
Granville,3208,14.61,0,0,
Maryborough (Qld),18240,15.79,1,1,
Maryborough Region - South,8390,15.79,1,1,
Tinana,5477,18.75,1,1,
